                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.8389,                 3.0185,                 1.2198,                0.80676,                0.76372,                0.80976,                  0.296,                  2.008,                 3.7321,                 1.3915,                0.00016,                0.00016,                0.00016
                      1,                 1.4155,                 1.0613,                  1.038,                0.69215,                0.65854,                0.71069,                0.25476,                 2.0812,                 3.1294,                 1.1055,             0.00033551,             0.00033551,             0.00033551
                      2,                 1.3904,                 1.0044,                0.99778,                0.78454,                 0.7549,                0.77607,                 0.4236,                  1.426,                 1.1968,                 1.0811,             0.00050627,             0.00050627,             0.00050627
                      3,                 1.3882,                0.86026,                 1.0083,                0.79412,                0.91463,                0.88152,                0.43412,                 1.5394,                 1.6721,                 1.1595,             0.00067228,             0.00067228,             0.00067228
                      4,                 1.4104,                0.92511,                 1.0285,                0.55311,                0.72451,                0.57154,                0.25641,                 1.7042,                 1.6192,                 1.2016,             0.00083354,             0.00083354,             0.00083354
                      5,                 1.3219,                0.87907,                0.99904,                0.69238,                0.74114,                0.73463,                 0.3525,                 1.7557,                 2.4382,                 1.1297,             0.00099004,             0.00099004,             0.00099004
                      6,                 1.4522,                0.99515,                 1.0195,                0.64191,                0.73171,                0.62776,                0.32147,                  1.665,                 1.2165,                 1.1663,              0.0011418,              0.0011418,              0.0011418
                      7,                 1.5652,                0.86205,                 1.0287,                0.69939,                0.82286,                0.76646,                0.38458,                 1.6154,                 1.3877,                 1.1289,              0.0012888,              0.0012888,              0.0012888
                      8,                 1.4581,                0.95707,                 1.0356,                0.61644,                0.66642,                0.63852,                0.29476,                 1.7131,                 1.4245,                   1.15,               0.001431,               0.001431,               0.001431
                      9,                 1.4562,                0.85361,                 1.0399,                0.65196,                0.84146,                0.73552,                0.38738,                 1.4824,                 1.0209,                 1.1232,              0.0015685,              0.0015685,              0.0015685
                     10,                 1.4292,                0.83993,                 1.0675,                0.70497,                 0.6994,                0.66559,                0.27151,                 1.9083,                  1.804,                 1.1307,              0.0017013,              0.0017013,              0.0017013
                     11,                 1.4188,                0.87465,                 1.0372,                0.52012,                0.81953,                0.55336,                0.29516,                 1.5353,                 2.0972,                 1.0995,              0.0017096,              0.0017096,              0.0017096
                     12,                 1.3982,                0.83372,                 1.0153,                0.52398,                0.68293,                0.47457,                0.21882,                 1.6854,                 2.3253,                 1.1333,              0.0017096,              0.0017096,              0.0017096
                     13,                  1.352,                0.77377,                0.99957,                0.88052,                  0.719,                0.82906,                0.42953,                 1.5599,                0.98896,                 1.1388,              0.0016832,              0.0016832,              0.0016832
                     14,                  1.286,                0.75019,                0.99041,                0.81583,                0.84146,                0.90679,                0.53431,                 1.3954,                 1.0636,                 1.1335,              0.0016568,              0.0016568,              0.0016568
                     15,                 1.2999,                0.73822,                 1.0107,                0.82586,                0.80976,                0.90871,                0.50527,                 1.4769,                 1.1642,                 1.0928,              0.0016304,              0.0016304,              0.0016304
                     16,                 1.3657,                0.75491,                0.96724,                0.76337,                0.73171,                0.81039,                0.34809,                  1.841,                 1.1967,                 1.1055,               0.001604,               0.001604,               0.001604
                     17,                 1.3822,                0.79669,                0.99717,                0.58614,                0.81181,                0.70035,                0.32276,                 1.8128,                 1.1261,                 1.1236,              0.0015776,              0.0015776,              0.0015776
                     18,                 1.4947,                0.79079,                 1.0209,                0.73352,                0.87282,                0.85742,                0.45408,                 1.5308,                0.99374,                  1.101,              0.0015512,              0.0015512,              0.0015512
                     19,                 1.2583,                0.69715,                0.99836,                0.72909,                0.91898,                0.88939,                0.43319,                 1.5514,                 1.0546,                 1.0668,              0.0015248,              0.0015248,              0.0015248
                     20,                 1.2473,                 0.7064,                 0.9903,                0.78789,                0.85366,                0.90818,                0.40481,                 1.6908,                 0.9214,                 1.0719,              0.0014984,              0.0014984,              0.0014984
                     21,                 1.2619,                0.71913,                0.96956,                0.90884,                0.85114,                0.95994,                 0.4452,                 1.6293,                0.85103,                 1.0596,               0.001472,               0.001472,               0.001472
                     22,                 1.3118,                0.74076,                0.96274,                0.97252,                0.86313,                0.96714,                0.55147,                 1.4188,                 0.7813,                 1.0447,              0.0014456,              0.0014456,              0.0014456
                     23,                 1.2659,                0.72842,                0.98908,                0.83224,                0.90749,                0.94428,                0.51728,                 1.4697,                0.79813,                 1.0473,              0.0014192,              0.0014192,              0.0014192
                     24,                 1.2371,                0.69606,                0.96795,                0.83387,                0.85699,                0.91667,                0.47169,                 1.5627,                 0.9095,                 1.0768,              0.0013928,              0.0013928,              0.0013928
                     25,                 1.2733,                0.70579,                0.95851,                0.85896,                0.89127,                0.94449,                0.50683,                 1.4902,                0.85314,                 1.0773,              0.0013664,              0.0013664,              0.0013664
                     26,                 1.2789,                0.70019,                0.99864,                0.89206,                0.86585,                0.95318,                0.48103,                 1.6037,                0.81139,                 1.0873,                0.00134,                0.00134,                0.00134
                     27,                 1.2411,                0.66811,                0.96762,                0.83078,                0.89024,                0.93919,                 0.4628,                 1.6532,                0.84364,                 1.0592,              0.0013136,              0.0013136,              0.0013136
                     28,                 1.2393,                0.66494,                0.97704,                 0.9256,                0.86585,                0.96102,                0.48303,                 1.6048,                0.82896,                 1.0855,              0.0012872,              0.0012872,              0.0012872
                     29,                 1.2408,                0.69064,                0.96427,                0.89533,                0.89024,                0.95993,                 0.5255,                  1.496,                0.78189,                  1.054,              0.0012608,              0.0012608,              0.0012608
                     30,                 1.2351,                0.68412,                0.97534,                0.87119,                0.89024,                0.94462,                0.54047,                 1.3928,                0.74046,                 1.0221,              0.0012344,              0.0012344,              0.0012344
                     31,                 1.1933,                0.66622,                0.94714,                0.93637,                 0.8973,                0.96194,                0.50455,                  1.495,                0.77683,                 1.0517,               0.001208,               0.001208,               0.001208
                     32,                 1.1641,                0.64573,                0.94682,                0.97498,                0.95027,                0.97928,                0.54237,                   1.42,                0.73341,                 1.0083,              0.0011816,              0.0011816,              0.0011816
                     33,                 1.1825,                0.64964,                0.94932,                0.98693,                0.92125,                0.98742,                0.57595,                 1.4135,                0.71848,                 1.0361,              0.0011552,              0.0011552,              0.0011552
                     34,                  1.278,                0.67838,                 0.9719,                0.89636,                0.94932,                0.97748,                0.52954,                 1.5935,                0.80037,                  1.049,              0.0011288,              0.0011288,              0.0011288
                     35,                 1.2277,                0.65109,                 0.9612,                0.94919,                0.91128,                0.96973,                0.51351,                  1.585,                0.78019,                 1.0818,              0.0011024,              0.0011024,              0.0011024
